No         x              y               H          Magnitude    Background       SD
1         1496.401        913.927             868011.420407    10.153686   9882.645682    3.723940
2          529.716       1478.270             502341.874484    10.747502   9849.797961    3.007138
3          779.938       1662.007             152104.992696    12.044641   9833.715938    2.874752
4         1413.138         30.640             150251.325873    12.057954   9869.760278    2.830362
5          833.552         78.468              79997.308639    12.742312   9828.241766    2.788382
6         1073.693        314.081              77072.336551    12.782754   9839.239265    2.769599
7         1307.409       1642.673              59443.093529    13.064746   9827.938760    2.908926
8          128.645        116.670              50864.673158    13.233959   9825.831054    2.755639
9          871.801        836.563              49172.073402    13.270704   9839.333232    2.889418
10         128.332        647.550              46946.185984    13.320999   9834.457699    2.785662
11         262.677        564.717              45047.472390    13.365824   9833.164409    2.786792
12        1130.433        889.601              43381.397687    13.406741   9839.635363    2.865343
13        1064.519       1088.970              30913.115237    13.774643   9838.409169    2.980865
14         668.208        550.827              29867.696955    13.811996   9834.104524    2.812748
15         366.201       1553.576              29025.344126    13.843057   9832.121726    2.843732
16        1878.122        236.427              27953.555356    13.883907   9866.684312    2.832443
17         575.085        799.357              26892.729031    13.925913   9838.503728    2.839365
18          17.569       1479.584              26670.835459    13.934908  10009.683168    2.832722
19         882.072       1070.077              26091.726447    13.958743   9838.150611    2.887586
20         194.125        956.276              25721.344040    13.974266   9831.839009    2.924648
21        1006.406        897.743              25162.180886    13.998129   9836.212641    2.878533
22         479.975        859.118              24050.862441    14.047173   9834.444335    2.811462
23         423.872        425.859              23923.833256    14.052923   9832.635384    2.770834
24         384.793       1131.890              23010.632007    14.095179   9837.307439    2.829486
25         458.923        566.648              22540.419573    14.117595   9833.662949    2.827704
26        1056.568       1369.164              22448.281847    14.122042   9833.885295    2.882066
27         497.090       1048.545              20321.957465    14.230086   9836.245605    2.863114
28         664.036        220.907              20025.853243    14.246022   9828.214922    2.762724
29         771.257        822.868              18857.244907    14.311304   9837.418754    2.865759
30         895.878        842.211              18701.409876    14.320314   9839.793004    2.894834
31        1443.630       1204.562              18346.540787    14.341115   9835.598334    2.898883
32        1746.035        877.471              18083.860277    14.356772   9834.980819    2.833530
33         515.151       1336.712              17927.419785    14.366206   9835.530967    2.862814
34        1297.713        154.049              17553.266303    14.389105   9831.118767    2.773553
35          37.576       1459.921              17234.278196    14.409017   9836.525989    2.843267
36         176.757       1861.585              16305.714750    14.469150   9821.964918    2.866048
37        1883.253         96.120              15712.177528    14.509409   9887.942056    2.853375
38          31.464        686.456              15253.594447    14.541570   9846.482410    2.765281
39        1745.200       1766.758              14732.298940    14.579324   9825.359866    2.909084
40        1134.991       1209.994              14540.376041    14.593561   9833.676045    2.983009
41        1534.400        817.343              14485.310049    14.597681   9849.265734    2.822218
42         440.754        436.632              13908.835461    14.641773   9837.573671    2.779602
43        1843.196        812.971              13307.548511    14.689755   9832.304097    2.786093
44         571.234        731.921              13129.920054    14.704345   9840.561145    2.834169
45         727.434       1334.340              12750.893193    14.736148   9833.293465    2.885206
46        1161.590        208.773              12444.227762    14.762580   9832.380733    2.774426
47          67.588       1552.550              11954.135057    14.806205   9827.036556    2.853822
48        1491.485       1429.606              11801.965020    14.820114   9833.059517    2.928612
49         321.918       1456.258              11653.048689    14.833901   9832.331709    2.854879
50         229.277       1805.921              11185.176456    14.878393   9822.164620    2.864891
51        1709.366        623.596              10503.437211    14.946671   9830.909976    2.814487
52         392.199       1026.524              10355.394051    14.962083   9836.812910    2.855582
53        1866.110       1593.119              10004.542551    14.999507   9838.197736    2.865363
54         477.111        544.049               9897.938903    15.011138   9835.979990    2.797515
55        1573.102       1380.232               9831.293769    15.018473   9834.580227    2.875302
56         336.927       1162.453               9313.687302    15.077196   9837.234548    2.835360
57        1186.811       1821.198               9240.009934    15.085819   9824.490046    2.889797
58        1121.253         61.162               9219.968151    15.088176   9828.955121    2.794547
59        1791.979       1848.618               9139.457079    15.097699   9822.514614    2.886889
60         613.555        768.403               9015.471415    15.112529   9839.926423    2.860692
61         393.621        190.146               8661.256660    15.156048   9830.315594    2.725280
62          85.236        161.877               8641.827972    15.158486   9828.859027    2.764551
63         925.893       1026.750               8201.542954    15.215261   9842.499275    2.903230
64         165.652       1471.009               7957.505701    15.248058   9826.843921    2.852945
65        1452.980         85.225               7901.781240    15.255687   9832.894626    3.096887
66        1037.974        262.916               7520.611858    15.309367   9835.820449    2.763285
67        1663.441       1542.679               7432.140807    15.322215   9829.409039    2.840777
68         188.456         81.214               7247.670022    15.349504   9824.447628    2.785098
69        1111.757        318.828               6843.465494    15.411810   9837.875245    2.800411
70        1023.616         24.677               6836.840837    15.412861   9829.429646    2.767853
71         919.641       1226.166               6610.264453    15.449453   9837.156886    2.898442
72         198.172        142.890               6442.983713    15.477282   9829.013266    2.762665
73        1449.600        826.038               5947.924594    15.564086   9847.913918    2.854068
74         612.058       1819.879               5929.153577    15.567518   9827.620249    2.887275
75        1495.941        984.757               5810.824025    15.589406   9848.689494    2.891676
76        1352.766        857.248               5669.886508    15.616064   9840.325613    2.852650
77        1555.731       1375.588               5496.686876    15.649748   9833.260658    2.882647
78         241.979        543.979               5354.322520    15.678239   9832.002885    2.802977
79         385.315       1215.038               5331.210726    15.682935   9829.923122    2.851526
80         523.819       1086.795               5322.101711    15.684792   9839.020081    2.857648
81        1055.301        713.613               5209.649868    15.707979   9837.975056    2.833265
82         348.892        701.856               5148.332904    15.720833   9835.043179    2.799729
83        1103.124       1481.738               5148.249208    15.720851   9834.827210    2.971202
84           7.582        388.558               5146.220867    15.721279  10911.833333    2.048185
85        1325.077         89.033               5137.297671    15.723163   9829.682079    2.792523
86         683.838        374.617               5071.426607    15.737175   9831.791768    2.765914
87         571.678       1701.383               4973.418079    15.758363   9825.792606    2.818316
88         280.464       1832.299               4968.098983    15.759524   9821.338256    2.851725
89        1013.041       1455.426               4947.394841    15.764059   9830.866448    2.961432
90        1445.340        530.308               4889.893284    15.776752   9839.471962    2.764260
91         798.194       1414.297               4773.844820    15.802829   9828.754076    2.963612
92        1631.283       1050.619               4773.566361    15.802893   9839.303945    2.849924
93         733.747        660.150               4647.171819    15.832028   9838.943878    3.052720
94         861.805       1155.085               4591.083195    15.845212   9839.243588    2.862903
95        1408.428        988.952               4518.378660    15.862543   9848.887632    2.857003
96         613.930       1196.127               4476.726088    15.872599   9833.359587    2.851240
97        1381.418        680.216               4394.416374    15.892747   9835.475923    2.798943
98        1546.375        990.584               4345.469283    15.904908   9849.509574    2.837888
99        1727.647        756.912               4309.552454    15.913920   9837.667299    2.806073
100        361.629        453.976               4305.472158    15.914948   9832.940654    2.825663
101        385.066        596.817               4021.979163    15.988900   9833.156098    2.794417
102        961.097        671.955               4012.854291    15.991367   9834.406007    2.853375
103       1627.903        153.086               4008.536101    15.992536   9830.043389    2.794820
104        555.112        777.069               3904.318301    16.021137   9842.764341    2.810991
105        808.694         90.740               3858.290767    16.034013   9830.578371    2.773041
106        762.543       1211.526               3800.402228    16.050426   9836.389865    2.936236
107       1346.924        766.582               3762.573540    16.061288   9837.944943    2.872080
108        475.276        351.266               3747.163507    16.065743   9834.086152    2.765928
109        905.139       1054.375               3743.973384    16.066668   9840.748373    2.866199
110       1503.744       1759.609               3704.238224    16.078253   9828.661760    2.927566
111       1186.184       1052.659               3682.073852    16.084769   9838.841523    2.892280
112       1161.685       1333.909               3657.955161    16.091904   9833.680755    2.973747
113        511.970        276.068               3634.867759    16.098778   9829.097197    2.748601
114        388.951       1774.487               3594.961344    16.110764   9826.333417    2.928826
115        622.849       1158.268               3569.136777    16.118592   9831.969073    2.954583
116        914.714        984.676               3543.498212    16.126419   9838.458770    2.907137
117        315.143       1503.299               3447.122094    16.156358   9827.737785    2.848743
118        737.633       1461.555               3401.903013    16.170695   9834.242749    2.872746
119        795.293        700.814               3382.160674    16.177014   9837.250908    2.843282
120        562.352        181.019               3354.046848    16.186077   9821.871627    2.714499
121        539.837         29.798               3329.985221    16.193894   9823.151381    2.765676
122        408.295       1479.729               3291.922587    16.206376   9833.710294    2.847397
123        439.323       1878.817               3175.663821    16.245414   9832.276824    2.877455
124        988.744        575.233               3074.583922    16.280534   9838.474394    2.848710
125       1607.048        209.172               3032.063644    16.295654   9828.639922    2.792143
126       1631.018       1132.332               2989.482403    16.311010   9833.621531    3.054763
127        208.960       1491.981               2984.284909    16.312899   9830.917475    2.806638
128        530.718        452.248               2983.299787    16.313258   9833.030975    2.726385
129        594.818       1698.418               2930.689239    16.332576   9826.151034    2.874871
130        516.964       1191.946               2900.801217    16.343705   9833.887736    2.887929
131       1055.593        282.930               2882.474433    16.350586   9838.848318    2.780951
132        267.702       1201.459               2854.809735    16.361057   9830.338562    2.855209
133       1235.809        364.008               2831.643662    16.369903   9832.123373    2.800744
134       1663.460       1311.932               2814.864691    16.376356   9830.761113    2.876995
135        953.524        623.928               2798.597251    16.382649   9839.493498    2.854237
136       1018.861       1015.015               2776.708850    16.391174   9838.722406    2.905105
137         14.710       1409.795               2753.486115    16.400293   9890.028698    2.798468
138         97.603        564.870               2726.483973    16.410993   9831.114999    2.725854
139       1716.117       1122.920               2720.681068    16.413306   9834.237016    2.859519
140       1476.404       1517.929               2718.844719    16.414039   9829.340906    2.855098
141       1874.675       1608.908               2716.158668    16.415112   9845.762791    3.022269
142       1254.726       1304.722               2684.101443    16.428003   9834.859597    2.874930
143        832.143        403.596               2647.086205    16.443080   9833.234371    2.800698
144        482.504        645.698               2623.936069    16.452617   9835.493632    2.774164
145        998.858        639.013               2605.190073    16.460401   9836.147157    2.784497
146        683.326       1761.060               2534.891541    16.490102   9827.681441    2.827931
147       1484.625        168.107               2485.452447    16.511486   9829.380981    2.782155
148       1749.228       1239.687               2401.857006    16.548632   9832.990808    2.864174
149       1417.654        437.775               2392.027390    16.553085   9832.421636    2.734554
150        541.471       1844.119               2382.979134    16.557199   9822.091476    2.851582
151        937.051        643.257               2369.818126    16.563212   9837.540774    2.864837
152       1675.472       1014.740               2361.651702    16.566960   9839.609917    2.863823
153       1538.274       1755.311               2355.725293    16.569688   9829.419417    2.809501
154         83.090       1677.228               2313.971137    16.589105   9821.531560    2.803136
155       1400.011        610.669               2308.173099    16.591829   9839.422341    2.851466
156        477.826       1793.716               2289.074681    16.600850   9827.364808    2.848324
157       1617.715       1236.627               2262.467779    16.613544   9834.170708    2.875317
158        122.515        755.917               2225.002690    16.631674   9833.207806    2.777188
159       1370.890        388.128               2221.207764    16.633527   9832.283616    2.764269
160       1684.146       1241.993               2162.112501    16.662804   9834.046221    2.892498
161       1192.889        958.840               2158.339269    16.664701   9839.924005    2.970104
162       1423.761       1228.176               2145.628525    16.671114   9834.745547    2.980005
163         62.791       1590.844               2101.546122    16.693653   9826.582512    2.841331
164         84.729        983.139               2054.220477    16.718382   9830.131215    3.163568
165        958.202        817.564               2023.520127    16.734731   9835.877336    2.860774
166       1631.534       1418.620               2003.011124    16.745792   9831.109903    3.346606
167       1378.075       1241.382               1967.212937    16.765372   9835.894789    2.852336
168        262.317        681.888               1964.770017    16.766721   9833.909200    2.800548
169        820.755        872.041               1959.546309    16.769611   9844.374759    2.927608
170        349.288       1079.279               1915.047409    16.794551   9835.089550    2.904065
171        230.857       1642.160               1898.275964    16.804102   9825.546826    2.928974
172       1008.213       1202.466               1848.494932    16.832954   9836.458037    2.994483
173        710.773        528.194               1800.970317    16.861234   9837.216199    2.828991
174        496.619       1771.332               1799.661657    16.862023   9828.802397    3.028801
175       1427.207        530.952               1781.944684    16.872764   9837.031495    2.774759
176        114.394       1211.610               1780.465025    16.873666   9832.205937    2.794730
177        148.997       1872.618               1778.711463    16.874736   9831.868778    2.852683
178        374.884       1604.224               1769.271534    16.880514   9829.222511    2.870179
179       1121.605        615.599               1751.108211    16.891718   9837.322971    2.826877
180       1821.075       1332.954               1726.028622    16.907380   9832.070610    2.989326
181         52.585       1299.788               1719.081768    16.911759   9831.675910    2.751201
182       1047.225       1187.076               1674.314119    16.940408   9834.530650    2.973496
183        110.266       1111.049               1639.499025    16.963222   9830.839874    2.813760
184        115.537       1828.285               1626.525709    16.971848   9819.981796    2.852605
185       1013.073       1357.645               1621.489687    16.975215   9835.634378    2.968585
186        421.017       1427.336               1619.058759    16.976843   9836.853087    2.810013
187        818.265       1847.799               1612.647379    16.981151   9824.526670    2.854856
188       1308.969        572.894               1598.764597    16.990539   9840.312227    2.918511
189        907.401        425.725               1575.730035    17.006295   9835.818396    2.862167
190        272.554        212.950               1565.531306    17.013346   9829.652573    2.777071
191       1273.931        227.671               1563.242670    17.014934   9831.445661    2.758619
192       1034.243       1087.318               1556.484047    17.019638   9835.283141    2.964321
193       1833.557        196.045               1514.481122    17.049340   9829.023848    2.841368
194       1356.599        966.206               1504.145353    17.056775   9844.067410    2.839329
195        321.724       1808.240               1490.076301    17.066979   9817.893002    2.933021
196       1597.353       1306.241               1488.694568    17.067986   9835.316160    2.934820
197        387.038        311.898               1473.415738    17.079187   9829.424849    2.841499
198       1664.308        418.540               1452.317322    17.094846   9834.067543    2.818016
199       1071.665       1401.596               1417.981900    17.120823   9833.242054    2.918135
200        944.274       1696.402               1404.745622    17.131006   9827.246276    2.858888
201        237.495        697.183               1403.091724    17.132285   9834.716175    2.686770
202       1511.535        401.336               1402.283227    17.132911   9834.100407    2.747318
203       1652.235       1189.188               1396.120753    17.137693   9837.635172    2.905751
204        542.959       1329.244               1390.592193    17.142001   9833.616440    2.827150
205        819.486        186.144               1384.554571    17.146725   9831.273981    2.778787
206       1661.620        125.445               1384.316027    17.146912   9828.037838    2.741740
207       1082.874       1177.635               1383.951980    17.147197   9835.164673    2.982558
208        116.727         96.991               1363.863748    17.163073   9827.467010    3.029379
209       1261.692        980.723               1361.192775    17.165201   9838.963088    3.042554
210       1139.045        592.648               1358.206920    17.167585   9837.867259    2.896769
211        926.643        341.165               1352.460815    17.172188   9832.978046    2.835701
212       1532.786        249.686               1345.177303    17.178051   9831.411040    2.790058
213        173.598        311.139               1344.405325    17.178674   9829.511224    2.744381
214        871.882       1582.139               1344.225576    17.178820   9833.244950    2.903743
215        642.983       1661.148               1342.557001    17.180168   9828.936721    2.912215
216       1105.251         13.161               1305.685281    17.210404   9860.617284    2.712881
217       1283.333         31.086               1300.411985    17.214798   9827.625235    2.768828
218       1283.360        906.824               1298.660991    17.216261   9836.898393    2.806518
219       1872.737        878.540               1272.915844    17.238001   9833.593830    2.843056
220        567.062       1116.631               1272.850267    17.238057   9837.223308    2.988653
221       1533.810       1818.206               1270.817951    17.239792   9825.454614    2.833874
222       1119.663        835.255               1268.460803    17.241807   9836.492375    2.916934
223       1234.536       1694.478               1262.384301    17.247021   9828.522233    2.911199
224        126.044       1872.773               1250.117438    17.257623   9823.928718    2.864142
